
 Epoch: 8400    Length: 8546    Reward: -8.0    L50 Reward: -8.02
 Epoch: 8500    Length: 8854    Reward: -13.0    L50 Reward: -6.94
 Epoch: 8600    Length: 9999    Reward: -6.0    L50 Reward: -5.58
 Epoch: 8700    Length: 9999    Reward: -3.0    L50 Reward: -6.4
 Epoch: 8800    Length: 9999    Reward: -3.0    L50 Reward: -7.14
 Epoch: 8900    Length: 9766    Reward: -15.0    L50 Reward: -6.48
 Epoch: 9000    Length: 9999    Reward: -7.0    L50 Reward: -6.0
 Epoch: 9100    Length: 9999    Reward: -4.0    L50 Reward: -4.92
 Epoch: 9200    Length: 9843    Reward: -8.0    L50 Reward: -7.12
 Epoch: 9300    Length: 9999    Reward: -7.0    L50 Reward: -4.68
 Epoch: 9400    Length: 9999    Reward: -5.0    L50 Reward: -5.24
 Epoch: 9500    Length: 9999    Reward: -1.0    L50 Reward: -5.72
 Epoch: 9600    Length: 9999    Reward: 0.0    L50 Reward: -3.18
 Epoch: 9700    Length: 8796    Reward: -8.0    L50 Reward: -4.46
 Epoch: 9800    Length: 9999    Reward: -2.0    L50 Reward: -4.62
 Epoch: 9900    Length: 9999    Reward: 3.0    L50 Reward: -4.98
